loan_id,image_type,path,relative_path,size_bytes,width,height,status,error,split,predicted_type,confidence
loan_001,face_signing,/workspace/jinchuang_v4/extracted/data/loan_001/face_signing.jpg,loan_001/face_signing.jpg,151766,1024,1024,ok,,train,face_signing,0.99716455
loan_002,face_signing,/workspace/jinchuang_v4/extracted/data/loan_002/face_signing.jpg,loan_002/face_signing.jpg,179583,1024,1024,ok,,val,face_signing,0.99688053
loan_003,face_signing,/workspace/jinchuang_v4/extracted/data/loan_003/face_signing.jpg,loan_003/face_signing.jpg,168131,1024,1024,ok,,test,face_signing,0.98778105
loan_004,face_signing,/workspace/jinchuang_v4/extracted/data/loan_004/face_signing.jpg,loan_004/face_signing.jpg,164490,1024,1024,ok,,train,face_signing,0.9980526
loan_005,face_signing,/workspace/jinchuang_v4/extracted/data/loan_005/face_signing.jpg,loan_005/face_signing.jpg,183247,1024,1024,ok,,train,face_signing,0.9911005
loan_006,face_signing,/workspace/jinchuang_v4/extracted/data/loan_006/face_signing.jpg,loan_006/face_signing.jpg,149676,1024,1024,ok,,train,face_signing,0.9978911
loan_007,face_signing,/workspace/jinchuang_v4/extracted/data/loan_007/face_signing.jpg,loan_007/face_signing.jpg,161772,1024,1024,ok,,val,face_signing,0.9937219
loan_008,face_signing,/workspace/jinchuang_v4/extracted/data/loan_008/face_signing.jpg,loan_008/face_signing.jpg,184467,1024,1024,ok,,train,face_signing,0.9896347
loan_009,face_signing,/workspace/jinchuang_v4/extracted/data/loan_009/face_signing.jpg,loan_009/face_signing.jpg,156625,1024,1024,ok,,test,face_signing,0.9942842
loan_010,face_signing,/workspace/jinchuang_v4/extracted/data/loan_010/face_signing.jpg,loan_010/face_signing.jpg,160439,1024,1024,ok,,train,face_signing,0.9958496
loan_011,face_signing,/workspace/jinchuang_v4/extracted/data/loan_011/face_signing.jpg,loan_011/face_signing.jpg,200822,1024,1024,ok,,val,face_signing,0.99471444
loan_012,face_signing,/workspace/jinchuang_v4/extracted/data/loan_012/face_signing.jpg,loan_012/face_signing.jpg,129660,1024,1024,ok,,train,face_signing,0.9949639
loan_013,face_signing,/workspace/jinchuang_v4/extracted/data/loan_013/face_signing.jpg,loan_013/face_signing.jpg,175263,1024,1024,ok,,train,face_signing,0.9910652
loan_014,face_signing,/workspace/jinchuang_v4/extracted/data/loan_014/face_signing.jpg,loan_014/face_signing.jpg,157750,1024,1024,ok,,test,face_signing,0.99611866
loan_015,face_signing,/workspace/jinchuang_v4/extracted/data/loan_015/face_signing.jpg,loan_015/face_signing.jpg,159509,1024,1024,ok,,test,face_signing,0.9955865
loan_016,face_signing,/workspace/jinchuang_v4/extracted/data/loan_016/face_signing.jpg,loan_016/face_signing.jpg,178959,1024,1024,ok,,train,face_signing,0.9986563
loan_017,face_signing,/workspace/jinchuang_v4/extracted/data/loan_017/face_signing.jpg,loan_017/face_signing.jpg,170612,1024,1024,ok,,train,face_signing,0.9940346
loan_018,face_signing,/workspace/jinchuang_v4/extracted/data/loan_018/face_signing.jpg,loan_018/face_signing.jpg,140875,1024,1024,ok,,train,face_signing,0.9960663
loan_019,face_signing,/workspace/jinchuang_v4/extracted/data/loan_019/face_signing.jpg,loan_019/face_signing.jpg,148566,1024,1024,ok,,train,face_signing,0.9954982
loan_020,face_signing,/workspace/jinchuang_v4/extracted/data/loan_020/face_signing.jpg,loan_020/face_signing.jpg,191714,1024,1024,ok,,train,face_signing,0.993097
loan_021,face_signing,/workspace/jinchuang_v4/extracted/data/loan_021/face_signing.jpg,loan_021/face_signing.jpg,170461,1024,1024,ok,,train,face_signing,0.993624
loan_022,face_signing,/workspace/jinchuang_v4/extracted/data/loan_022/face_signing.jpg,loan_022/face_signing.jpg,133514,1024,1024,ok,,train,face_signing,0.99572647
loan_023,face_signing,/workspace/jinchuang_v4/extracted/data/loan_023/face_signing.jpg,loan_023/face_signing.jpg,157487,1024,1024,ok,,val,face_signing,0.98786026
loan_024,face_signing,/workspace/jinchuang_v4/extracted/data/loan_024/face_signing.jpg,loan_024/face_signing.jpg,161651,1024,1024,ok,,train,face_signing,0.9977805
loan_025,face_signing,/workspace/jinchuang_v4/extracted/data/loan_025/face_signing.jpg,loan_025/face_signing.jpg,169596,1024,1024,ok,,val,face_signing,0.99566036
loan_026,face_signing,/workspace/jinchuang_v4/extracted/data/loan_026/face_signing.jpg,loan_026/face_signing.jpg,186273,1024,1024,ok,,train,face_signing,0.99728847
loan_027,face_signing,/workspace/jinchuang_v4/extracted/data/loan_027/face_signing.jpg,loan_027/face_signing.jpg,156445,1024,1024,ok,,test,face_signing,0.9921044
loan_028,face_signing,/workspace/jinchuang_v4/extracted/data/loan_028/face_signing.jpg,loan_028/face_signing.jpg,143835,1024,1024,ok,,train,face_signing,0.99480057
loan_029,face_signing,/workspace/jinchuang_v4/extracted/data/loan_029/face_signing.jpg,loan_029/face_signing.jpg,186821,1024,1024,ok,,train,face_signing,0.9972262
